Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Disposal,2025,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26,6%,33%,,,36,-1
Disposal,2025,10,Josh Treacy,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,10.5,5%,33%,,,11,-1
Mark,2025,10,Brennan Cox,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,5,11%,56%,,,3,1
Mark,2025,10,Heath Chapman,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,5,-8%,63%,,,4,1
Mark,2025,10,Luke Ryan,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,6.5,3%,56%,,,5,1
Mark,2025,10,Alex Pearce,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4.5,14%,33%,,,2,1
Tackle,2025,10,Shaun Mannagh,GEE,PTA,MedFF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,4.5,33%,33%,,,2,1
Disposal,2025,10,Zach Guthrie,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,18,6%,56%,,,21,-1
Tackle,2025,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,8,28%,33%,,,5,1
Disposal,2025,10,Connor O'Sullivan,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12,13%,56%,,,5,1
Disposal,2025,10,Shaun Mannagh,GEE,PTA,MedFF,✅ Neutral,✅ Neutral,🔵 Strong Easy,16.5,8%,40%,,,21,-1
Disposal,2025,10,Jeremy Cameron,GEE,PTA,KeyF,✅ Neutral,✅ Neutral,🔵 Strong Easy,14.5,0%,44%,,,16,-1
Disposal,2025,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,18,3%,44%,,,23,-1
Disposal,2025,10,Patrick Dangerfield,GEE,PTA,FwdMid,✅ Neutral,✅ Neutral,🔹 Slight Easy,16,5%,67%,,,3,1
Mark,2025,10,Jeremy Cameron,GEE,PTA,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,4%,56%,,,8,-1
Mark,2025,10,Max Holmes,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,16%,44%,,,5,-1
Mark,2025,10,Connor O'Sullivan,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,41%,22%,,,3,1
Disposal,2025,10,Tom Green,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,30.5,9%,25%,,,25,1
Disposal,2025,10,Finn Callaghan,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,26.5,2%,50%,,,24,1
Disposal,2025,10,Jesse Hogan,GWS,FRE,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,12.5,3%,75%,,,11,1
Disposal,2025,10,Jake Bowey,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,23,5%,56%,,,22,1
Disposal,2025,10,Christian Salem,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,20.5,10%,44%,,,20,1
Mark,2025,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,27%,33%,,,6,-1
Disposal,2025,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,20,8%,44%,,,25,-1
Disposal,2025,10,Tom McDonald,MEL,BRL,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,15,6%,33%,,,16,-1
Disposal,2025,10,Judd McVee,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,16,0%,44%,,,13,1
Mark,2025,10,Steven May,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,0%,67%,,,8,-1
Disposal,2025,10,Kysaiah Pickett,MEL,BRL,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,17.5,12%,33%,,,21,-1
Disposal,2025,10,Charlie Spargo,MEL,BRL,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11.5,-4%,43%,,,13,-1
Tackle,2025,10,Kysaiah Pickett,MEL,BRL,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-4%,83%,,,3,1
Disposal,2025,10,Bayley Fritsch,MEL,BRL,MedF,✅ Neutral,✅ Neutral,🔹 Slight Easy,9.5,1%,50%,,,7,1
Mark,2025,10,Christian Salem,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,6,32%,22%,,,8,-1
Mark,2025,10,Tom McDonald,MEL,BRL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,7%,78%,,,6,0
Disposal,2025,10,Caleb Windsor,MEL,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,1%,57%,,,6,1
Disposal,2025,10,Kade Chandler,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14,10%,67%,,,11,1
Tackle,2025,10,Kade Chandler,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,5%,67%,,,0,1
Disposal,2025,10,Jack Darling,NTH,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10.5,-4%,56%,,,17,-1
Tackle,2025,10,Sam Powell-Pepper,PTA,GEE,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,3.5,-11%,56%,,,2,1
Disposal,2025,10,Sam Powell-Pepper,PTA,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,13.5,1%,33%,,,23,-1
Disposal,2025,10,Sam Banks,RIC,NTH,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,22,-17%,88%,,,25,-1
Disposal,2025,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14.5,-3%,33%,,,11,1
Disposal,2025,10,Hugo Ralphsmith,RIC,NTH,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,13,-8%,80%,,,16,-1
Mark,2025,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,4%,65%,,,2,1
Disposal,2025,10,Toby Nankervis,RIC,NTH,Ruck,✅ Neutral,✅ Neutral,🔴 Strong Unders,16,7%,56%,,,15,1
Tackle,2025,10,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5,50%,25%,,,14,-1
Disposal,2025,10,Jack Sinclair,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,26,0%,78%,,,38,-1
Mark,2025,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,8,8%,44%,,,6,1
Disposal,2025,10,Jimmy Webster,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14,-6%,56%,,,17,-1
Disposal,2025,10,Bradley Hill,STK,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,20,-5%,56%,,,22,-1
Disposal,2025,10,Mitch Owens,STK,WCE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,13.5,-4%,50%,,,12,1
Disposal,2025,10,Max Hall,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14.5,-1%,44%,,,13,1
Disposal,2025,10,Rowan Marshall,STK,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,18.5,-7%,67%,,,27,-1
Disposal,2025,10,Mattaes Phillipou,STK,WCE,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,17,20%,20%,,,14,1
Tackle,2025,10,Jack Macrae,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5,13%,56%,,,3,1
Disposal,2025,10,Nasiah Wanganeen-Milera,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,27.5,1%,44%,,,27,1
Disposal,2025,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,18,4%,44%,,,24,-1
Mark,2025,10,Jimmy Webster,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,5,-7%,56%,,,6,-1
Mark,2025,10,Jack Sinclair,STK,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,4.5,-6%,67%,,,7,-1
Disposal,2025,10,Ryan Byrnes,STK,WCE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18,1%,67%,,,17,1
Tackle,2025,10,Rowan Marshall,STK,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,3.5,5%,33%,,,5,-1
Disposal,2025,10,Darcy Wilson,STK,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18,2%,44%,,,17,1
Tackle,2025,10,Marcus Windhager,STK,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4,-8%,78%,,,0,1
Disposal,2025,10,Matt Roberts,SYD,CAR,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,23,8%,22%,,,20,1
Disposal,2025,10,Dane Rampe,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13,10%,56%,,,8,1
Disposal,2025,10,Sam Wicks,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14,4%,56%,,,20,-1
Disposal,2025,10,Nick Blakey,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,19.5,6%,44%,,,13,1
Disposal,2025,10,Chad Warner,SYD,CAR,FwdMid,✅ Neutral,✅ Neutral,🔴 Strong Unders,22.5,-4%,44%,,,30,-1
Disposal,2025,10,Isaac Heeney,SYD,CAR,FwdMid,✅ Neutral,✅ Neutral,🔴 Strong Unders,22.5,-4%,78%,,,38,-1
Mark,2025,10,Nick Blakey,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,9%,78%,,,1,1
Disposal,2025,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,0%,56%,,,14,-1
Mark,2025,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,13%,44%,,,5,0
Tackle,2025,10,Ryley Sanders,WBD,ESS,Wing,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,4,-8%,89%,,,1,1
Disposal,2025,10,Bailey Dale,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,26.5,1%,44%,,,49,-1
Disposal,2025,10,Lachlan Bramble,WBD,ESS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,17.5,-2%,56%,,,14,1
Disposal,2025,10,Jason Johannisen,WBD,ESS,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,19,-8%,60%,,,20,-1
Disposal,2025,10,Aaron Naughton,WBD,ESS,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11.5,1%,56%,,,11,1
Mark,2025,10,Mason Redman,ESS,WBD,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-33%,100%,,,4,1
Disposal,2025,10,Jamie Cripps,WCE,STK,MedF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12.5,-6%,67%,,,9,1
Disposal,2025,11,Isaac Cumming,ADE,WCE,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15.5,-8%,60%,,,16,-1
Tackle,2025,11,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,5,0%,78%,,,5,0
Mark,2025,11,Eric Hipwood,BRL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,20%,50%,,,3,1
Mark,2025,11,Jaspa Fletcher,BRL,HAW,GenDD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,4%,40%,,,5,1
Tackle,2025,11,Adam Cerra,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,4.5,0%,50%,,🔵 Avoid (Rain),6,-1
Tackle,2025,11,Patrick Cripps,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,6,-3%,50%,,🔵 Avoid (Rain),7,-1
Tackle,2025,11,George Hewett,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,6,7%,50%,,🔵 Avoid (Rain),1,1
Disposal,2025,11,Oliver Hollands,CAR,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,16.5,2%,40%,,,17,-1
Disposal,2025,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,16.5,-7%,60%,,,15,1
Mark,2025,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,0%,60%,,,3,1
Mark,2025,11,Nick Haynes,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,21%,50%,,,8,-1
Mark,2025,11,Oliver Hollands,CAR,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,14%,60%,,,3,1
Mark,2025,11,Harry McKay,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,6.5,0%,38%,,,5,1
Mark,2025,11,Charlie Curnow,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,6.5,6%,38%,,,5,1
Mark,2025,11,Jordan Clark,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,-4%,60%,,,6,-1
Mark,2025,11,Peter Wright,ESS,RIC,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,9%,40%,,,5,1
Disposal,2025,11,Luke Ryan,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,21,1%,50%,,,22,-1
Mark,2025,11,Luke Ryan,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,6.5,0%,60%,,,7,-1
Mark,2025,11,Heath Chapman,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,-9%,67%,,,9,-1
Disposal,2025,11,Brennan Cox,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11.5,0%,40%,,,13,-1
Tackle,2025,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,6,10%,50%,,,8,-1
Disposal,2025,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,29,-1%,50%,,,21,1
Mark,2025,11,Jye Amiss,FRE,PTA,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,-15%,80%,,,3,1
Mark,2025,11,Brennan Cox,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,18%,50%,,,3,1
Disposal,2025,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,11,4%,50%,,,12,-1
Disposal,2025,11,Karl Worner,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13.5,-3%,56%,,,18,-1
Disposal,2025,11,Jeremy Sharp,FRE,PTA,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,16,-10%,40%,,,11,1
Mark,2025,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,7%,40%,,,7,-1
Mark,2025,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,4.5,16%,40%,,,5,-1
Tackle,2025,11,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,3,23%,60%,,,3,0
Mark,2025,11,Lawson Humphries,GEE,WBD,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,5.5,7%,55%,,,6,-1
Mark,2025,11,Jack Henry,GEE,WBD,KeyD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,6,33%,60%,,,8,-1
Mark,2025,11,Harry Himmelberg,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,15%,40%,,,4,1
Disposal,2025,11,Harry Himmelberg,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,18,7%,50%,,,19,-1
Disposal,2025,11,Jack Buckley,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12.5,-2%,50%,,,8,1
Disposal,2025,11,Toby Bedford,GWS,CAR,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12.5,-18%,67%,,,11,1
Mark,2025,11,Sam Taylor,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,0%,60%,,,7,-1
Mark,2025,11,Lachie Whitfield,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,6%,50%,,,5,1
Mark,2025,11,Connor Idun,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,1%,50%,,,5,1
Tackle,2025,11,Nick Watson,HAW,BRL,SmF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,2.5,4%,60%,,,0,1
Disposal,2025,11,Josh Battle,HAW,BRL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,8%,50%,,,23,-1
Disposal,2025,11,Connor Macdonald,HAW,BRL,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15,-13%,75%,,,20,-1
Mark,2025,11,Josh Battle,HAW,BRL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,4%,50%,,,6,-1
Tackle,2025,11,Tom Sparrow,MEL,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,17%,40%,,,5,-1
Tackle,2025,11,Kade Chandler,MEL,SYD,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3,10%,70%,,,4,-1
Tackle,2025,11,Charlie Spargo,MEL,SYD,SmF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,-5%,50%,,,4,-1
Mark,2025,11,Steven May,MEL,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,6.5,-3%,57%,,,5,1
Disposal,2025,11,Harvey Langford,MEL,SYD,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,19.5,4%,44%,,,21,-1
Tackle,2025,11,Kysaiah Pickett,MEL,SYD,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,6%,70%,,,4,-1
Disposal,2025,11,Tom Powell,NTH,COL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,19.5,16%,30%,,,28,-1
Tackle,2025,11,Luke Davies-Uniacke,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,4,0%,60%,,,4,0
Mark,2025,11,Nick Larkey,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,3%,50%,,,4,0
Tackle,2025,11,Tom Powell,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,4.5,16%,40%,,,3,1
Tackle,2025,11,George Wardlaw,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,5.5,0%,50%,,,4,1
Mark,2025,11,Jack Darling,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3,10%,50%,,,5,-1
Disposal,2025,11,Caleb Daniel,NTH,COL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,23.5,9%,30%,,,30,-1
Disposal,2025,11,Joe Richards,PTA,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14.5,-2%,50%,,,13,1
Disposal,2025,11,Sam Powell-Pepper,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,15.5,-6%,60%,,,9,1
Disposal,2025,11,Zak Butters,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,28,-1%,57%,,,24,1
Disposal,2025,11,Willem Drew,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,18,2%,70%,,,23,-1
Disposal,2025,11,Miles Bergman,PTA,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,19.5,-10%,60%,,,23,-1
Mark,2025,11,Jase Burgoyne,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,70%,,,4,1
Disposal,2025,11,Jase Burgoyne,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,20.5,2%,40%,,,18,1
Disposal,2025,11,Jackson Mead,PTA,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14.5,8%,50%,,,5,1
Disposal,2025,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,19,-3%,50%,,,24,-1
Mark,2025,11,Nathan Broad,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,6,2%,70%,,,8,-1
Disposal,2025,11,Nathan Broad,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,15,-7%,60%,,,22,-1
Mark,2025,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,6.5,3%,60%,,,4,1
Mark,2025,11,Nasiah Wanganeen-Milera,STK,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-13%,70%,,,3,1
Tackle,2025,11,Marcus Windhager,STK,GCS,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4,-18%,80%,,,4,0
Tackle,2025,11,Jack Higgins,STK,GCS,SmF,✅ Neutral,✅ Neutral,🔵 Strong Easy,2.5,12%,50%,,,1,1
Mark,2025,11,Callum Wilkie,STK,GCS,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,8,5%,50%,,,8,0
Tackle,2025,11,Braeden Campbell,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,3,7%,78%,,,7,-1
Tackle,2025,11,James Rowbottom,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,6%,56%,,,9,-1
Mark,2025,11,Nick Blakey,SYD,MEL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-5%,78%,,,6,-1
Tackle,2025,11,Ryley Sanders,WBD,GEE,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,4,-15%,80%,,,8,-1
Disposal,2025,11,Laitham Vandermeer,WBD,GEE,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,10.5,8%,38%,,,13,-1
DIsposal,2025,11,Ryley Sanders,WBD,GEE,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,20,5%,60%,,,13,1
Mark,2025,11,Lachlan Bramble,WBD,GEE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,3.5,20%,50%,,,0,1
Mark,2025,11,Jake Waterman,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,6,7%,57%,,,4,1
Disposal,2025,11,Liam Ryan,WCE,ADE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12,1%,63%,,,11,1
