Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Bet Priority,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L,,🔷 Moderate Easy,🔹 Slight Easy,🔵 Strong Easy
Mark,15,Luke McDonald,NTH,CAR,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,2%,61%,,4,8,-1,,,,
Mark,15,Matt Roberts,SYD,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,4%,58%,,6,6,0,,,,
Disposal,10,Matt Roberts,SYD,CAR,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,8%,22%,#REF!,23,20,1,,,,
Tackle,11,Marcus Windhager,STK,GCS,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,-18%,80%,#REF!,4,4,0,,,,
Mark,16,Oliver Hollands,CAR,PTA,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),11%,57%,,5,2,1,,,,
Tackle,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,,,,33%,33%,#REF!,4.5,2,1,,,,
Tackle,10,Sam Powell-Pepper,PTA,GEE,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,-11%,56%,#REF!,3.5,2,1,,,,
Tackle,10,Ryley Sanders,WBD,ESS,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,-8%,89%,#REF!,4,1,1,,,,
Tackle,10,Cam Rayner,BRL,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,2%,67%,#REF!,2.5,1,1,,,,
Mark,15,Connor Idun,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),3%,50%,,6.5,10,-1,,,,
Tackle,10,Kysaiah Pickett,MEL,BRL,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-4%,83%,#REF!,4,3,1,,,,
Mark,15,Bailey Dale,WBD,RIC,Des,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),-29%,85%,,6.5,7,-1,,,,
Mark,15,Nick Haynes,CAR,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),10%,46%,,8,11,-1,,,,
Mark,15,Luke Ryan,FRE,ESS,Des,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),-7%,62%,,6.5,12,-1,,,,
Mark,15,Jordan Clark,FRE,ESS,Des,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),-10%,92%,,6,8,-1,,,,
Mark,15,Bodhi Uwland,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,4%,58%,,4.5,3,1,,,,
Mark,15,Joel Jeffrey,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,17%,68%,,5,6,-1,,,,
Disposal,15,Eric Hipwood,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,6%,50%,,10,7,1,,,,
Disposal,10,Rory Laird,ADE,COL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,33%,#REF!,22.5,27,-1,,,,
Tackle,11,Nick Watson,HAW,BRL,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,4%,60%,#REF!,2.5,0,1,,,,
Mark,10,Josh Treacy,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,13%,56%,#REF!,5,2,1,,,,
Mark,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,27%,33%,#REF!,5,6,-1,,,,
Mark,15,Nasiah Wanganeen-Milera,STK,COL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-9%,62%,,6,7,-1,,,,
Mark,15,Mitch Georgiades,PTA,SYD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,15%,54%,,5,4,1,,,,
Mark,15,Xavier Duursma,ESS,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,18%,46%,,4.5,3,1,,,,
Tackle,11,Jack Higgins,STK,GCS,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,12%,50%,,2.5,1,1,,,,
Mark,11,Peter Wright,ESS,RIC,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,9%,40%,#REF!,5.5,5,1,,,,
Mark,11,Harry McKay,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,0%,38%,#REF!,6.5,5,1,,,,
Disposal,10,Bailey Dale,WBD,ESS,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,1%,44%,#REF!,26.5,49,-1,,,,
Mark,15,Aaron Naughton,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-3%,70%,,5,2,1,,,,
Mark,15,Tim Membrey,COL,STK,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-6%,64%,,5,4,1,,,,
Disposal,15,Cam Rayner,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-1%,64%,,15,19,-1,,,,
Disposal,15,Harris Andrews,BRL,GEE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,5%,43%,,12.5,16,-1,,,,
Disposal,10,Jordan Clark,FRE,GWS,Des,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,2%,56%,#REF!,23,21,1,,,,
Disposal,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-5%,54%,,10,13,-1,,,,
Disposal,15,Charlie Cameron,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,10%,50%,,8.5,10,-1,,,,
Tackle,11,Tim Kelly,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,4%,50%,#REF!,3.5,3,1,,,,
Mark,11,Jaspa Fletcher,BRL,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,4%,40%,#REF!,5.5,5,1,,,,
Mark,11,Jase Burgoyne,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,70%,#REF!,5,4,1,,,,
Disposal,10,Jack Sinclair,STK,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,0%,78%,#REF!,26,38,-1,,,,
Mark,15,Dylan Stephens,NTH,CAR,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,9%,50%,,4.5,6,-1,,,,
Mark,15,Jase Burgoyne,PTA,SYD,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,18%,54%,,4.5,7,-1,,,,
Tackle,11,Braeden Campbell,SYD,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,7%,78%,#REF!,3,7,-1,,,,
Mark,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-2%,69%,,4,8,-1,,,,
Tackle,11,Ryley Sanders,WBD,GEE,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,-15%,80%,AVOID,4,8,-1,,,,
Tackle,11,Tom Sparrow,MEL,SYD,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,17%,40%,#REF!,3.5,5,-1,,,,
Mark,15,Tom Lynch,RIC,WBD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-1%,55%,,4.5,5,-1,,,,
Disposal,15,Darcy Wilmot,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,⚠️ Unknown,,,🚫 SKIP - No Strategy,10%,50%,,17,16,1,,,,
Mark,11,Charlie Curnow,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,6%,38%,#REF!,6.5,5,1,,,,
Disposal,11,Luke Ryan,FRE,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,1%,50%,#REF!,21,22,-1,,,,
Disposal,12,Dayne Zorko,BRL,ESS,Des,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-2%,55%,,27.5,23,1,,,,
Mark,11,Jake Waterman,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,7%,57%,#REF!,6,4,1,,,,
Mark,10,Alex Pearce,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,14%,33%,#REF!,4.5,2,1,,,,
Disposal,12,Archie Roberts,ESS,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,2%,40%,,24,20,1,,,,
Mark,10,Steven May,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,67%,#REF!,6,8,-1,,,,
Mark,11,Eric Hipwood,BRL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,20%,50%,#REF!,4.5,3,1,,,,
Mark,15,Wil Powell,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,9%,42%,,4.5,6,-1,,,,
Mark,14,Heath Chapman,FRE,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,55%,,4.5,5,-1,,,,
Mark,11,Oliver Hollands,CAR,GWS,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,14%,60%,#REF!,5,3,1,,,,
Disposal,12,Ryan Maric,WCE,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-1%,55%,,22.5,15,1,,,,
Mark,14,Archie Roberts,ESS,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-6%,75%,,6,5,1,,,,
Mark,14,Connor Idun,GWS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET - GenD Mark (Priority #3),4%,46%,,6.5,6,1,,,,
Mark,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,8%,44%,#REF!,8,6,1,,,,
Mark,14,Andrew McGrath,ESS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,29%,58%,,3.5,3,1,,,,
Mark,14,Lachie Whitfield,GWS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,21%,46%,,6,5,1,,,,
Mark,14,Jordan Clark,FRE,NTH,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-2%,50%,,5.5,5,1,,,,
Mark,14,Massimo D'Ambrosio,HAW,ADE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,10%,75%,,4,1,1,,,,
Tackle,11,Charlie Spargo,MEL,SYD,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-5%,50%,#REF!,2.5,4,-1,,,,
Disposal,12,Karl Amon,HAW,COL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,3%,50%,,23.5,22,1,,,,
Mark,14,Jarrod Berry,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-1%,58%,,6,5,1,,,,
Mark,12,Xavier Duursma,ESS,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,14%,70%,,5,4,1,,,,
Mark,12,Jake Lloyd,SYD,ADE,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,11%,46%,,6.5,3,1,,,,
Mark,12,Harry Himmelberg,GWS,RIC,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟡 CONSIDER,0%,50%,,6.5,4,1,,,,
Mark,14,Ryan Lester,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,5%,46%,,5.5,5,1,,,,
Mark,14,Liam Duggan,WCE,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,8%,46%,,4.5,7,-1,,,,
Mark,14,Josh Worrell,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,-11%,54%,,5.5,5,1,,,,
Mark,14,Rory Laird,ADE,HAW,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,18%,58%,,5,5,0,,,,
Disposal,12,Luke Ryan,FRE,GCS,Des,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Position,-2%,46%,,21.5,18,1,,,,
Mark,12,Jaspa Fletcher,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,,,🟡 CONSIDER,-13%,64%,,6.5,12,-1,,,,
Mark,12,Jesse Hogan,GWS,RIC,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,-15%,75%,,6.5,4,1,,,,
Mark,12,Hayden McLean,SYD,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,6%,60%,,3.5,1,1,,,,
Tackle,12,Jack Higgins,STK,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,6%,55%,,2.5,1,-1,,,,
Tackle,12,Rhyan Mansell,RIC,GWS,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,0%,75%,,3,4,-1,,,,
Tackle,16,Elijah Hewett,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🥈 TIER 2 #5 - Strong DvP + Tackle (73.7% WR),16%,40%,,4.5,1,1,,,,
Mark,14,Lachie Ash,GWS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,14%,53%,,6,7,-1,,,,
Disposal,12,Jordan Clark,FRE,GCS,Des,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🚫 SKIP - Position,0%,64%,,23,30,-1,,,,
Mark,14,Dayne Zorko,BRL,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,17%,46%,,6,8,-1,,,,
Mark,12,Oliver Dempsey,GEE,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🟡 CONSIDER,-20%,91%,,5,2,1,,,,
Mark,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,🟡 CONSIDER,-6%,73%,,5.5,5,1,,,,
Mark,13,Dylan Stephens,NTH,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET - Wing Long Travel,-10%,60%,,6,3,1,,,,
Mark,12,Shannon Neale,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-34%,91%,,5.5,5,1,,,,
Mark,13,Mitch Georgiades,PTA,GWS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,,,🟡 STRONG BET - Long Travel,21%,36%,,4.5,5,1,,,,
Mark,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,65%,#REF!,5.5,2,1,,,,
Mark,14,Ryan Byrnes,STK,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET - GenD Mark (Priority #3),-3%,58%,,6,6,0,,,,
Disposal,12,Tom Stewart,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟡 CONSIDER,-22%,67%,,21,18,1,,,,
Mark,14,Charlie Curnow,CAR,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET - KeyF Mark (Priority #1),-10%,64%,,7,2,1,,,,
Mark,14,Aaron Naughton,WBD,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟢 AUTO-BET - KeyF Mark (Priority #1),0%,67%,,5,3,1,,,,
Mark,10,Nick Blakey,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,9%,78%,#REF!,5,1,1,,,,
Mark,14,Riley Thilthorpe,ADE,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟢 AUTO-BET - KeyF Mark (Priority #1),1%,54%,,5.5,1,1,,,,
Mark,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,13%,44%,#REF!,5,5,0,,,,
Mark,14,Peter Wright,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,13%,50%,,5,4,1,,,,
Mark,13,Jaspa Fletcher,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟢 AUTO-BET - Wing Long Travel,3%,58%,,6,5,1,,,,
Mark,14,Jaspa Fletcher,BRL,GWS,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET - Wing Mark (Priority #4),22%,46%,,5,6,-1,,,,
Disposal,12,Lawson Humphries,GEE,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - Position,-1%,60%,,19.5,12,1,,,,
Mark,14,Zach Guthrie,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,3%,77%,,6,8,-1,,,,
Mark,14,Mark O'Connor,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,25%,46%,,4.5,12,-1,,,,
Mark,14,Nate Caddy,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,0%,58%,,4,1,1,,,,
Disposal,12,Sam Banks,RIC,GWS,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Position,16%,0%,,23.5,25,-1,,,,
Disposal,13,Caleb Daniel,NTH,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟡 STRONG BET - Long Travel,4%,64%,,25,29,-1,,,,
Disposal,13,Connor Rozee,PTA,GWS,Des,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟡 STRONG BET - Long Travel,5%,46%,,27.5,28,-1,,,,
Disposal,17,Colby McKercher,NTH,WBD,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,10,New,#10 - Disposal + Neutral Weather (71.4% WR) (Need: Line >26),-4%,45%,,28.5,,,,,,
Mark,10,Jacob Weitering,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,18%,56%,#REF!,7,4,1,,,,
