Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Tackle,18,Brodie Smith,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,93%,83%,,SKIP - No Strategy,0,1
Tackle,18,Izak Rankine,ADE,WBD,InsM,✅ Neutral,✅ Neutral,✅ Neutral,3.5,-7%,38%,,SKIP - No Strategy,4,-1
Tackle,18,Jake Soligo,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,1%,44%,,SKIP - No Strategy,9,-1
Tackle,18,James Peatling,ADE,WBD,InsM,✅ Neutral,✅ Neutral,✅ Neutral,4.5,-3%,50%,,SKIP - No Strategy,2,1
Tackle,18,Jordan Dawson,ADE,WBD,InsM,✅ Neutral,✅ Neutral,✅ Neutral,6.5,-6%,44%,,SKIP - No Strategy,8,-1
Mark,18,Tom Stewart,GEE,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,-11%,36%,3,GenD + Mark + Avg <0% + No Easy DvP + Line >5,9,-1
Tackle,10,Cam Rayner,BRL,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,2%,67%,,,1,1
Mark,11,Eric Hipwood,BRL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,20%,50%,,,3,1
Tackle,18,Jarrod Berry,BRL,CAR,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3,-10%,27%,5,Tackle + Moderate Travel + Avg <5% + No Easy DvP + No Rain,5,-1
Mark,11,Jaspa Fletcher,BRL,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,4%,40%,,,5,1
Mark,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,5.5,-6%,73%,,🟡 CONSIDER,5,1
Disposal,12,Kai Lohmann,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,11.5,-48%,83%,,,15,-1
Mark,12,Jaspa Fletcher,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,6.5,-13%,64%,,🟡 CONSIDER,12,-1
Disposal,12,Jarrod Berry,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,19,-3%,70%,,🟡 CONSIDER,25,-1
Disposal,12,Dayne Zorko,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,27.5,-2%,55%,,,23,1
Disposal,12,Noah Answerth,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,13.5,1%,46%,,,20,-1
Disposal,12,Ryan Lester,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,14,2%,55%,,,15,-1
Mark,18,Harry Himmelberg,GWS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-12%,38%,3,GenD + Mark + Avg <0% + No Easy DvP + Line >5,6,-1
Disposal,12,Lachie Neale,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,28.5,-6%,55%,,,26,1
Disposal,12,Will Ashcroft,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,26.5,2%,55%,,,30,-1
Disposal,12,Levi Ashcroft,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,21.5,-2%,36%,,🟡 CONSIDER,15,1
Disposal,12,Cam Rayner,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,15,-5%,73%,,🟡 CONSIDER,14,1
Disposal,12,Callum Ah Chee,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,12,-2%,64%,,🟡 CONSIDER,13,-1
Disposal,12,Charlie Cameron,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,11.5,-11%,56%,,🟡 CONSIDER,8,-1
Mark,12,Jarrod Berry,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,5.5,-2%,60%,,🟡 CONSIDER,9,-1
Disposal,12,Darcy Fort,BRL,ESS,Ruck,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,11,-2%,80%,,🟡 CONSIDER,10,1
Disposal,12,Jaspa Fletcher,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,20.5,-3%,46%,,🟢 STRONG BET,21,-1
Disposal,12,Zac Bailey,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,16.5,5%,55%,,🟢 STRONG BET,20,-1
Mark,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,6.5,-20%,60%,,🟡 CONSIDER,9,-1
Mark,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,6.5,11%,45%,,🟡 CONSIDER,12,-1
Disposal,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,13,0%,55%,,🟡 CONSIDER,16,-1
Disposal,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,10.5,10%,50%,,🟡 CONSIDER,17,-1
Disposal,12,Darcy Wilmot,BRL,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,19.5,0%,46%,,🟢 STRONG BET,14,1
Mark,18,Lachie Ash,GWS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-9%,38%,3,GenD + Mark + Avg <0% + No Easy DvP + Line >5,7,-1
Disposal,12,Eric Hipwood,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,11,-6%,55%,,🟢 STRONG BET,12,-1
Disposal,12,Logan Morris,BRL,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,10,-15%,70%,,🟢 STRONG BET,11,-1
Disposal,13,Jaspa Fletcher,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,20,0%,42%,,🟢 AUTO-BET - Wing Long Travel,27,-1
Disposal,13,Zac Bailey,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,17,3%,58%,,🟢 AUTO-BET - Wing Long Travel,21,-1
Mark,13,Jack Payne,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6,3%,55%,,🟡 STRONG BET - Long Travel,9,-1
Mark,13,Harris Andrews,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6,22%,42%,,🟡 STRONG BET - Long Travel,7,-1
Disposal,13,Eric Hipwood,BRL,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,11%,50%,,🟡 CONSIDER - Long Travel,9,1
Disposal,13,Logan Morris,BRL,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,8.5,3%,46%,,🟡 CONSIDER - Long Travel,12,-1
Disposal,13,Charlie Cameron,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,9.5,5%,50%,,🟡 STRONG BET - Long Travel,7,1
Disposal,13,Callum Ah Chee,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,11,8%,58%,,🟡 STRONG BET - Long Travel,10,1
Disposal,13,Cam Rayner,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,-2%,58%,,🟡 STRONG BET - Long Travel,17,-1
Disposal,13,Kai Lohmann,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,10.5,-31%,71%,,🟡 STRONG BET - Long Travel,11,-1
Disposal,13,Harris Andrews,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,13,2%,50%,,🟡 STRONG BET - Long Travel,14,-1
Mark,13,Jaspa Fletcher,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,6,3%,58%,,🟢 AUTO-BET - Wing Long Travel,5,1
Disposal,13,Jack Payne,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,11,9%,55%,,🟡 STRONG BET - Long Travel,18,-1
Mark,14,Ryan Lester,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,5%,46%,,,5,1
Mark,14,Dayne Zorko,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,6,17%,46%,,,8,-1
Mark,14,Jaspa Fletcher,BRL,GWS,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,22%,46%,,🟢 AUTO-BET - Wing Mark (Priority #4),6,-1
Mark,18,Nick Haynes,CAR,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,8,-9%,38%,3,GenD + Mark + Avg <2% + No Easy DvP + Line ≥5.5,6,1
Tackle,14,Lachie Neale,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-10%,69%,,🟡 CONSIDER - Strong DvP Tackles,2,1
Tackle,14,Josh Dunkley,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,6,14%,54%,,🟡 CONSIDER - Strong DvP Tackles,2,1
Tackle,14,Hugh McCluggage,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,25%,46%,,🟡 CONSIDER - Strong DvP Tackles,1,1
Tackle,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,8%,57%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,10,-1
Tackle,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,4.5,18%,50%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,6,-1
Tackle,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3.5,0%,50%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,4,-1
Tackle,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3,-5%,64%,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,-1
Disposal,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,2%,58%,,,26,-1
Disposal,15,Zac Bailey,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,16,10%,50%,,,19,-1
Disposal,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,3%,50%,,,13,1
Mark,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,64%,,,4,1
Disposal,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,3%,33%,,,23,-1
Mark,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,43%,,,5,0
Mark,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,50%,,,6,-1
Disposal,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13,6%,43%,,,14,-1
Disposal,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25.5,4%,50%,,,33,-1
Disposal,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,25,5%,50%,,,17,1
Disposal,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26,3%,50%,,,22,-1
Disposal,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,23,4%,50%,,,30,-1
Disposal,15,Eric Hipwood,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,6%,50%,,,7,1
Disposal,15,Cam Rayner,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,15,-1%,64%,,,19,-1
Disposal,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,-5%,54%,,,13,-1
Disposal,15,Charlie Cameron,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,8.5,10%,50%,,,10,-1
Mark,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4,-2%,69%,,,8,-1
Disposal,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,10%,50%,,,16,1
Disposal,15,Levi Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,17.5,15%,29%,,,23,-1
Disposal,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26.5,2%,50%,,,28,-1
Mark,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,7,1%,50%,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,0
Disposal,15,Kai Lohmann,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10.5,-28%,67%,,🤔 CONSIDER #6 - Long Travel + Disposal (Need: ≤-10% Avg vs Line),13,-1
Mark,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,0%,58%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),10,-1
Disposal,15,Harris Andrews,BRL,GEE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,12.5,5%,43%,,,16,-1
Disposal,15,Darcy Fort,BRL,GEE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,0%,63%,,,8,1
Mark,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,10%,43%,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),4,1
Mark,17,Harris Andrews,BRL,PTA,KeyD,✅ Neutral,✅ Neutral,✅ Neutral,7,5%,53%,,,10,-1
Mark,17,Dayne Zorko,BRL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,1%,53%,7,,5,1
Mark,17,Jarrod Berry,BRL,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,-6%,57%,6,Wing + Mark + Avg <20% + Line >4.5,7,-1
Mark,17,Jaspa Fletcher,BRL,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,8%,47%,6,Wing + Mark + Avg <20% + Line >4.5,8,-1
Mark,17,Logan Morris,BRL,PTA,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-16%,71%,,,2,1
Mark,17,Eric Hipwood,BRL,PTA,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,4.5,8%,53%,,,5,-1
Disposal,18,Brandon Starcevich,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10.5,8%,75%,,,9,1
Disposal,18,Callum Ah Chee,BRL,CAR,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12.5,4%,60%,,,16,-1
Disposal,18,Cam Rayner,BRL,CAR,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,12%,63%,,,22,-1
Disposal,18,Charlie Cameron,BRL,CAR,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,10,6%,50%,,,9,1
Disposal,18,Darcy Wilmot,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,-8%,50%,,,31,-1
Disposal,18,Dayne Zorko,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25,-7%,50%,,,28,-1
Disposal,18,Eric Hipwood,BRL,CAR,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10,-2%,56%,,,10,0
Disposal,18,Harris Andrews,BRL,CAR,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,13.5,1%,44%,,,9,1
Disposal,18,Hugh McCluggage,BRL,CAR,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,26,-2%,44%,,,18,1
Disposal,18,Jarrod Berry,BRL,CAR,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20,0%,53%,,,23,-1
Disposal,18,Jaspa Fletcher,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,-4%,38%,,,22,-1
Disposal,18,Josh Dunkley,BRL,CAR,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,23.5,-1%,50%,,,28,-1
Disposal,18,Kai Lohmann,BRL,CAR,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12,39%,64%,,,10,1
Disposal,18,Lachie Neale,BRL,CAR,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25.5,-1%,50%,,,31,-1
Disposal,18,Levi Ashcroft,BRL,CAR,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,19,-6%,25%,,,14,1
Disposal,18,Logan Morris,BRL,CAR,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10.5,9%,53%,,,11,-1
Disposal,18,Noah Answerth,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13,-5%,38%,,,7,1
Disposal,18,Ryan Lester,BRL,CAR,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12.5,-5%,31%,,,10,1
Disposal,18,Will Ashcroft,BRL,CAR,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,26.5,-2%,50%,,,29,-1
Disposal,18,Zac Bailey,BRL,CAR,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18.5,2%,50%,,,21,-1
Mark,18,Jaspa Fletcher,BRL,CAR,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,-18%,25%,,,11,-1
Mark,18,Charlie Cameron,BRL,CAR,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4,2%,36%,,,4,0
Mark,18,Darcy Wilmot,BRL,CAR,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5.5,4%,44%,,,14,-1
