Type,Bet Priority,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L
Tackle,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,18%,50%,,4.5,6,-1
Tackle,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,0%,50%,,3.5,4,-1
Tackle,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,-5%,64%,,3,5,-1
Mark,15,John Noble,GCS,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,27%,50%,,4,3,1
Mark,15,Daniel Rioli,GCS,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,-4%,58%,,4,2,1
Mark,15,Bodhi Uwland,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,4%,58%,,4.5,3,1
Mark,15,Joel Jeffrey,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,17%,68%,,5,6,-1
Mark,15,Wil Powell,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,9%,42%,,4.5,6,-1
Mark,16,Cooper Sharman,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),0%,57%,,5.5,4,1
Mark,16,Jack Gunston,HAW,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4%,45%,,5.5,4,1
Mark,16,Sam Darcy,WBD,SYD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),-3%,25%,,7.5,2,1
Mark,16,Riley Thilthorpe,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),-5%,57%,,5.5,6,-1
Mark,16,Charlie Curnow,CAR,PTA,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4%,54%,,5.5,6,-1
Mark,16,Oliver Hollands,CAR,PTA,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),11%,57%,,5,2,1
Mark,16,Dylan Stephens,NTH,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),0%,54%,,5,1,1
Mark,16,Mason Wood,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,#2,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),-4%,50%,,6.5,4,1
Mark,16,Bailey Williams,WBD,SYD,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),13%,38%,,7,7,0
Disposal,16,Daniel Turner,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-15%,64%,,14,12,1
Disposal,16,Tyler Brockman,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-13%,55%,,15,10,1
Disposal,16,Dan Butler,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-12%,67%,,9.5,6,1
Disposal,16,Clay Hall,WCE,COL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-10%,75%,,15,22,-1
Tackle,16,Elijah Hewett,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🥈 TIER 2 #5 - Strong DvP + Tackle (73.7% WR),16%,40%,,4.5,1,1
Tackle,16,Jack Graham,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #5 - Strong DvP + Tackle (73.7% WR),11%,46%,,7,8,-1
Tackle,16,Marcus Windhager,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),-18%,86%,,4,3,1
Tackle,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),8%,58%,,5,4,1
Tackle,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),11%,62%,,7,9,-1
Disposal,10,Matt Roberts,SYD,CAR,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,8%,22%,#REF!,23,20,1
Tackle,11,Marcus Windhager,STK,GCS,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,-18%,80%,#REF!,4,4,0
Tackle,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),33%,40%,,4.5,5,-1
Tackle,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,,,,33%,33%,#REF!,4.5,2,1
Tackle,10,Sam Powell-Pepper,PTA,GEE,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,-11%,56%,#REF!,3.5,2,1
Tackle,10,Ryley Sanders,WBD,ESS,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,-8%,89%,#REF!,4,1,1
Tackle,10,Cam Rayner,BRL,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,2%,67%,#REF!,2.5,1,1
Disposal,12,Jeremy Howe,COL,HAW,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-7%,44%,,15.5,10,1
Tackle,10,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,50%,25%,#REF!,5,14,-1
Disposal,12,Tom Barrass,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-5%,50%,,11,9,1
Disposal,12,Kai Lohmann,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,🔷 Moderate Easy,,,,-48%,83%,,11.5,15,-1
Disposal,12,Bailey Humphrey,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,-9%,50%,,18.5,12,1
Disposal,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,1%,38%,,21.5,26,1
Disposal,12,James Jordon,SYD,ADE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,9,36%,,14.5,11,1
Disposal,12,Sam Flanders,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,,2%,33%,,18.5,16,1
Mark,12,Sam Banks,RIC,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,55%,,5,7,-1
Disposal,10,Rory Laird,ADE,COL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,33%,#REF!,22.5,27,-1
Tackle,11,Nick Watson,HAW,BRL,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,,,,4%,60%,#REF!,2.5,0,1
Mark,10,Josh Treacy,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,13%,56%,#REF!,5,2,1
Mark,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,27%,33%,#REF!,5,6,-1
Mark,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,,9%,44%,,6,13,1
Disposal,12,Kysaiah Pickett,MEL,STK,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,2%,38%,,20,12,1
Mark,15,Lawson Humphries,GEE,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,8%,46%,,5.5,4,1
Tackle,11,Jack Higgins,STK,GCS,GenF,✅ Neutral,✅ Neutral,🔵 Strong Easy,,,,12%,50%,,2.5,1,1
Mark,11,Peter Wright,ESS,RIC,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,9%,40%,#REF!,5.5,5,1
Mark,11,Harry McKay,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,0%,38%,#REF!,6.5,5,1
Disposal,10,Bailey Dale,WBD,ESS,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,1%,44%,#REF!,26.5,49,-1
Mark,15,Sam Banks,RIC,WBD,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-29%,75%,,5.5,1,1
Mark,15,Oliver Hollands,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,12%,53%,,5,5,0
Mark,15,Nick Larkey,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,11%,44%,,4,3,1
Mark,15,Jack Darling,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-10%,60%,,4,2,1
Disposal,10,Jordan Clark,FRE,GWS,Des,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,2%,56%,#REF!,23,21,1
Disposal,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,3%,50%,,13.5,13,1
Mark,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,64%,,5,4,1
Tackle,11,Tim Kelly,WCE,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,4%,50%,#REF!,3.5,3,1
Mark,11,Jaspa Fletcher,BRL,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,4%,40%,#REF!,5.5,5,1
Mark,11,Jase Burgoyne,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,70%,#REF!,5,4,1
Disposal,10,Jack Sinclair,STK,WCE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,0%,78%,#REF!,26,38,-1
Mark,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,43%,,5,5,0
Mark,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,50%,,5,6,-1
Tackle,11,Braeden Campbell,SYD,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,7%,78%,#REF!,3,7,-1
Mark,15,Aaron Cadman,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,0%,57%,,4.5,3,1
Tackle,11,Ryley Sanders,WBD,GEE,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,-15%,80%,AVOID,4,8,-1
Tackle,11,Tom Sparrow,MEL,SYD,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,17%,40%,#REF!,3.5,5,-1
Disposal,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,2%,58%,,19.5,26,-1
Disposal,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,6%,43%,,13,14,-1
Mark,11,Charlie Curnow,CAR,GWS,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,6%,38%,#REF!,6.5,5,1
Disposal,11,Luke Ryan,FRE,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,1%,50%,#REF!,21,22,-1
Mark,15,Jesse Hogan,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,21%,55%,,4.5,7,-1
Mark,11,Jake Waterman,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,7%,57%,#REF!,6,4,1
Mark,10,Alex Pearce,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,14%,33%,#REF!,4.5,2,1
Mark,15,Nick Vlastuin,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,20%,69%,,5,7,-1
Mark,10,Steven May,MEL,BRL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,67%,#REF!,6,8,-1
Mark,11,Eric Hipwood,BRL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,20%,50%,#REF!,4.5,3,1
Mark,15,Tom Brown,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,11%,54%,,4.5,3,-1
Mark,14,Heath Chapman,FRE,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,55%,,4.5,5,-1
Mark,11,Oliver Hollands,CAR,GWS,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,14%,60%,#REF!,5,3,1
Disposal,15,Zac Bailey,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,10%,50%,,16,19,-1
Mark,14,Archie Roberts,ESS,GEE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-6%,75%,,6,5,1
Mark,15,Blake Acres,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,55%,,4.5,7,-1
Mark,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,8%,44%,#REF!,8,6,1
Mark,14,Andrew McGrath,ESS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,29%,58%,,3.5,3,1
Mark,14,Lachie Whitfield,GWS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,21%,46%,,6,5,1
Mark,14,Jordan Clark,FRE,NTH,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-2%,50%,,5.5,5,1
Mark,14,Massimo D'Ambrosio,HAW,ADE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,10%,75%,,4,1,1
Tackle,11,Charlie Spargo,MEL,SYD,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-5%,50%,#REF!,2.5,4,-1
Mark,15,Lachie Whitfield,GWS,GCS,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,18%,50%,,6,1,1
Mark,14,Jarrod Berry,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-1%,58%,,6,5,1
Mark,15,Mark O'Connor,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,64%,,6,3,1
Mark,15,Zach Guthrie,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,5%,71%,,6,3,1
Mark,15,Connor Rozee,PTA,SYD,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,-11%,62%,,5.5,4,1
Mark,14,Ryan Lester,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,5%,46%,,5.5,5,1
Mark,14,Liam Duggan,WCE,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,8%,46%,,4.5,7,-1
Mark,14,Josh Worrell,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,-11%,54%,,5.5,5,1
Mark,14,Rory Laird,ADE,HAW,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,18%,58%,,5,5,0
Mark,15,Jeremy Howe,COL,STK,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,-20%,64%,,6,5,1
Mark,15,Jack Sinclair,STK,COL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,-11%,62%,,5.5,3,1
Mark,15,Caleb Daniel,NTH,CAR,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,14%,46%,,3.5,3,1
Disposal,15,Dayne Zorko,BRL,GEE,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,4%,50%,,25.5,33,-1
Disposal,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,5%,50%,,25,17,1
Disposal,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,3%,50%,,26,22,-1
Disposal,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,4%,50%,,23,30,-1
Mark,14,Lachie Ash,GWS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,14%,53%,,6,7,-1
Mark,15,Nick Blakey,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,5%,67%,,5,5,0
Mark,14,Dayne Zorko,BRL,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,17%,46%,,6,8,-1
Mark,15,Riley Bice,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,20%,50%,,4.5,0,1
Mark,15,Dane Rampe,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,62%,,4,4,0
Mark,15,Luke McDonald,NTH,CAR,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,2%,61%,,4,8,-1
Mark,15,Matt Roberts,SYD,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,58%,,6,6,0
Disposal,15,Eric Hipwood,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,6%,50%,,10,7,1
Mark,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,65%,#REF!,5.5,2,1
Mark,15,Nasiah Wanganeen-Milera,STK,COL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,-9%,62%,,6,7,-1
Mark,15,Mitch Georgiades,PTA,SYD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,,15%,54%,,5,4,1
Mark,15,Xavier Duursma,ESS,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,18%,46%,,4.5,3,1
Mark,15,Aaron Naughton,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,,-3%,70%,,5,2,1
Mark,10,Nick Blakey,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,9%,78%,#REF!,5,1,1
Mark,15,Tim Membrey,COL,STK,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,,-6%,64%,,5,4,1
Mark,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,13%,44%,#REF!,5,5,0
Mark,14,Peter Wright,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,13%,50%,,5,4,1
Disposal,15,Cam Rayner,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-1%,64%,,15,19,-1
Disposal,15,Harris Andrews,BRL,GEE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,5%,43%,,12.5,16,-1
Disposal,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-5%,54%,,10,13,-1
Mark,14,Zach Guthrie,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,3%,77%,,6,8,-1
Mark,14,Mark O'Connor,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,,25%,46%,,4.5,12,-1
Mark,14,Nate Caddy,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,0%,58%,,4,1,1
Disposal,15,Charlie Cameron,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,10%,50%,,8.5,10,-1
Mark,15,Dylan Stephens,NTH,CAR,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,,9%,50%,,4.5,6,-1
Mark,15,Jase Burgoyne,PTA,SYD,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,,18%,54%,,4.5,7,-1
Mark,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,,-2%,69%,,4,8,-1
Mark,10,Jacob Weitering,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,18%,56%,#REF!,7,4,1
Mark,10,Mitch McGovern,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,4%,56%,#REF!,5,3,1
Disposal,17,Brennan Cox,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-4%,53%,,12,6,1
Disposal,17,Heath Chapman,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-10%,71%,,15.5,13,1
Disposal,10,Tom McDonald,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,33%,#REF!,15,16,-1
Disposal,10,Judd McVee,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,0%,44%,#REF!,16,13,1
Disposal,10,Dane Rampe,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,10%,56%,#REF!,13,8,1
Tackle,10,Marcus Windhager,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,-8%,78%,#REF!,4,0,1
Mark,15,Tom Lynch,RIC,WBD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,,,,-1%,55%,,4.5,5,-1
Disposal,10,Sam Wicks,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,56%,#REF!,14,20,-1
Disposal,10,Mitchell Hinge,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,1%,44%,#REF!,18,21,-1
Mark,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,41%,22%,#REF!,4.5,3,1
Disposal,17,Jordan Clark,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-4%,67%,,26,13,1
Disposal,15,Darcy Wilmot,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,,10%,50%,,17,16,1
